metric,value
sample_count,62
add_hits,7
sub_hits,7
addi_hits,23
beq_hits,13
lw_hits,6
sw_hits,5
ebreak_hits,1
unknown_hits,0
rs1_low_hits,43
rs1_mid_hits,19
rs1_high_hits,0
rd_low_hits,25
rd_mid_hits,16
rd_high_hits,0
branch_taken_hits,7
branch_not_taken_hits,6
mem_read_hits,6
mem_write_hits,5
