cross_group,cross_bin,hit,hit_count,source_tests,evidence_window
memory_width_offset,lw_off0,1,35,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;apb_wait_trap;reset_mid_wait;isa_matrix;operand_corner_matrix;csr_state_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;apb_wait_depth_matrix;apb_reset_phase_matrix;apb_access_legality_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;c_initialized_data_sections;c_abi_stack_call_matrix;rv32_decode_legality_matrix;rv32_control_flow_boundary_matrix;rv32_sram_boundary_fault_matrix;csr_illegal_mask_alignment_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;apb_atomicity_wait_error_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
memory_width_offset,sb_off1,1,2,isa_matrix;c_initialized_data_sections,same scenario transaction/retirement window
memory_width_offset,sb_off3,1,3,operand_corner_matrix;c_initialized_data_sections;rv32_sram_boundary_fault_matrix,same scenario transaction/retirement window
memory_width_offset,sh_off0,1,35,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;apb_wait_trap;reset_mid_wait;isa_matrix;operand_corner_matrix;csr_state_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;apb_wait_depth_matrix;apb_reset_phase_matrix;apb_access_legality_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;c_initialized_data_sections;c_abi_stack_call_matrix;rv32_decode_legality_matrix;rv32_control_flow_boundary_matrix;rv32_sram_boundary_fault_matrix;csr_illegal_mask_alignment_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;apb_atomicity_wait_error_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
memory_width_offset,sh_off2,1,2,isa_matrix;operand_corner_matrix,same scenario transaction/retirement window
memory_width_offset,sw_off0,1,35,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;apb_wait_trap;reset_mid_wait;isa_matrix;operand_corner_matrix;csr_state_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;apb_wait_depth_matrix;apb_reset_phase_matrix;apb_access_legality_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;c_initialized_data_sections;c_abi_stack_call_matrix;rv32_decode_legality_matrix;rv32_control_flow_boundary_matrix;rv32_sram_boundary_fault_matrix;csr_illegal_mask_alignment_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;apb_atomicity_wait_error_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
csr_form_source,csrrw_nonzero,1,35,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;apb_wait_trap;reset_mid_wait;isa_matrix;operand_corner_matrix;csr_state_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;apb_wait_depth_matrix;apb_reset_phase_matrix;apb_access_legality_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;c_initialized_data_sections;c_abi_stack_call_matrix;rv32_decode_legality_matrix;rv32_control_flow_boundary_matrix;rv32_sram_boundary_fault_matrix;csr_illegal_mask_alignment_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;apb_atomicity_wait_error_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
csr_form_source,csrrs_nonzero,1,12,interrupt_dma;isa_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;dma_completion_pressure_irq;power_active_dma_matrix;power_completion_pending_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
csr_form_source,csrrc_nonzero,1,2,isa_matrix;csr_illegal_mask_alignment_matrix,same scenario transaction/retirement window
csr_form_source,csrrwi_immediate,1,2,isa_matrix;csr_state_matrix,same scenario transaction/retirement window
