coverage_area,coverage_point,hit,hit_count,first_test,contributing_tests,evidence_type
isa_operand,rv32_branch_bltu_taken,1,1,isa_matrix,isa_matrix,RVFI retirement trace
isa_operand,rv32_branch_bltu_not_taken,1,1,isa_matrix,isa_matrix,RVFI retirement trace
isa_operand,rv32_branch_bgeu_taken,1,35,apb_access_legality_matrix,apb_access_legality_matrix;apb_atomicity_wait_error_matrix;apb_reset_phase_matrix;apb_wait_depth_matrix;apb_wait_trap;back_to_back;c_abi_stack_call_matrix;c_initialized_data_sections;csr_illegal_mask_alignment_matrix;csr_state_matrix;dma_completion_pressure_irq;dma_length_bank_matrix;dma_tag_reuse_recovery;firmware_completion_mode_error_power_matrix;interrupt_before_after_retire;interrupt_dma;interrupt_during_apb_wait;interrupt_mask_pending_enable;invalid_source;irq_level_mret_matrix;irq_trap_priority_matrix;isa_matrix;operand_corner_matrix;parity_error;polling_dma;power_active_dma_matrix;power_completion_pending_matrix;queue_full_recovery;reset_irq_handler_matrix;reset_mid_wait;rv32_control_flow_boundary_matrix;rv32_decode_legality_matrix;rv32_sram_boundary_fault_matrix;sleep_resume;timeout_handler,RVFI retirement trace
isa_operand,rv32_branch_bgeu_not_taken,1,35,apb_access_legality_matrix,apb_access_legality_matrix;apb_atomicity_wait_error_matrix;apb_reset_phase_matrix;apb_wait_depth_matrix;apb_wait_trap;back_to_back;c_abi_stack_call_matrix;c_initialized_data_sections;csr_illegal_mask_alignment_matrix;csr_state_matrix;dma_completion_pressure_irq;dma_length_bank_matrix;dma_tag_reuse_recovery;firmware_completion_mode_error_power_matrix;interrupt_before_after_retire;interrupt_dma;interrupt_during_apb_wait;interrupt_mask_pending_enable;invalid_source;irq_level_mret_matrix;irq_trap_priority_matrix;isa_matrix;operand_corner_matrix;parity_error;polling_dma;power_active_dma_matrix;power_completion_pending_matrix;queue_full_recovery;reset_irq_handler_matrix;reset_mid_wait;rv32_control_flow_boundary_matrix;rv32_decode_legality_matrix;rv32_sram_boundary_fault_matrix;sleep_resume;timeout_handler,RVFI retirement trace
isa_operand,rv32_opimm_addi,1,35,apb_access_legality_matrix,apb_access_legality_matrix;apb_atomicity_wait_error_matrix;apb_reset_phase_matrix;apb_wait_depth_matrix;apb_wait_trap;back_to_back;c_abi_stack_call_matrix;c_initialized_data_sections;csr_illegal_mask_alignment_matrix;csr_state_matrix;dma_completion_pressure_irq;dma_length_bank_matrix;dma_tag_reuse_recovery;firmware_completion_mode_error_power_matrix;interrupt_before_after_retire;interrupt_dma;interrupt_during_apb_wait;interrupt_mask_pending_enable;invalid_source;irq_level_mret_matrix;irq_trap_priority_matrix;isa_matrix;operand_corner_matrix;parity_error;polling_dma;power_active_dma_matrix;power_completion_pending_matrix;queue_full_recovery;reset_irq_handler_matrix;reset_mid_wait;rv32_control_flow_boundary_matrix;rv32_decode_legality_matrix;rv32_sram_boundary_fault_matrix;sleep_resume;timeout_handler,RVFI retirement trace
isa_operand,rv32_opimm_slti,1,1,isa_matrix,isa_matrix,RVFI retirement trace
isa_operand,rv32_opimm_sltiu,1,1,isa_matrix,isa_matrix,RVFI retirement trace
isa_operand,rv32_opimm_xori,1,1,isa_matrix,isa_matrix,RVFI retirement trace
isa_operand,rv32_opimm_ori,1,3,csr_illegal_mask_alignment_matrix,csr_illegal_mask_alignment_matrix;isa_matrix;rv32_control_flow_boundary_matrix,RVFI retirement trace
isa_operand,rv32_opimm_andi,1,35,apb_access_legality_matrix,apb_access_legality_matrix;apb_atomicity_wait_error_matrix;apb_reset_phase_matrix;apb_wait_depth_matrix;apb_wait_trap;back_to_back;c_abi_stack_call_matrix;c_initialized_data_sections;csr_illegal_mask_alignment_matrix;csr_state_matrix;dma_completion_pressure_irq;dma_length_bank_matrix;dma_tag_reuse_recovery;firmware_completion_mode_error_power_matrix;interrupt_before_after_retire;interrupt_dma;interrupt_during_apb_wait;interrupt_mask_pending_enable;invalid_source;irq_level_mret_matrix;irq_trap_priority_matrix;isa_matrix;operand_corner_matrix;parity_error;polling_dma;power_active_dma_matrix;power_completion_pending_matrix;queue_full_recovery;reset_irq_handler_matrix;reset_mid_wait;rv32_control_flow_boundary_matrix;rv32_decode_legality_matrix;rv32_sram_boundary_fault_matrix;sleep_resume;timeout_handler,RVFI retirement trace
